RID,Age,Gender,Zip,Region,Hispanic,Ethnicity,HHI,Education,Political party,
5f885765-6028-f8fa-7b7a-f333d4635b9b,62,Female,46254,Northeast,"No , not of Hispanic, Latino, or Spanish origin",White ,"$20,000 to $24,999","Completed some college, but no degree",Republican,
5f8855eb-3a1d-2d7b-2a77-fc060bf4b6a0,62,Male,10037,Midwest,"No , not of Hispanic, Latino, or Spanish origin","Black, or African American","$95,000 to $99,999","College Degree (such as B.A., B.S.)",Democrat,
5f88550d-cecf-1c7c-1e51-fc36c53767bb,61,Female,94704,North,"No , not of Hispanic, Latino, or Spanish origin",White ,"$30,000 to $34,999","College Degree (such as B.A., B.S.)",Independent,
5f88fca1-dbd0-3d08-6249-c00adedba873,61,Female,77802,South,"No , not of Hispanic, Latino, or Spanish origin",White ,"$15,000 to $19,999","Completed some college, but no degree",Republican,
5f8d0fcf-5fa9-2bda-5f07-a778ddeedfaf,60,Female,20007,South,"No , not of Hispanic, Latino, or Spanish origin",White ,"$25,000 to $29,999","Completed some college, but no degree",Independent,
5f8856c6-b46e-4110-70ec-b3abffb839eb,59,Female,48362,Northeast,"No , not of Hispanic, Latino, or Spanish origin",White ,"$95,000 to $99,999","College Degree (such as B.A., B.S.)",Republican,
5f8ca9ce-ffa9-daac-0764-098bb54aa983,59,Male,54914,Northeast,"No , not of Hispanic, Latino, or Spanish origin",White ,"$90,000 to $94,999","College Degree (such as B.A., B.S.)",Independent,
5f8c7843-2dc7-4b2f-6937-0acd2b161937,58,Female,92083,North,"No , not of Hispanic, Latino, or Spanish origin",Asian *** Japanese ,"Less than $5,000",Associate Degree,Democrat,
5f89a08e-5d3a-68ec-f7fb-7803993b82e2,58,Female,37922,South,"No , not of Hispanic, Latino, or Spanish origin",White ,"$40,000 to $44,999","College Degree (such as B.A., B.S.)",Democrat,
5f886503-ea9f-2f52-222c-a7ac12cf933f,58,Female,8812,Midwest,"No , not of Hispanic, Latino, or Spanish origin",White ,"$40,000 to $44,999","College Degree (such as B.A., B.S.)",Democrat,
5f893349-a65d-d3a2-6995-cdd25771600b,54,Female,90002,North,"No , not of Hispanic, Latino, or Spanish origin",White ,"$100,000 to $124,999",Masters degree,Republican,
5f899f30-4cf3-1b4a-62a8-def029da6dea,54,Male,7728,Midwest,"No , not of Hispanic, Latino, or Spanish origin",White ,"$75,000 to $79,999","College Degree (such as B.A., B.S.)",Independent,
5f8f4e56-cecc-e586-a79f-5697333bc518,50,Female,78415,South,"Yes, another Hispanic, Latino, or Spanish origin *** Peru ",Some other race ,"$45,000 to $49,999",High school graduate,Independent,
5f886e87-8f30-e77e-c45b-3fc85a51b15c,50,Male,48892,Northeast,"No , not of Hispanic, Latino, or Spanish origin",White ,"$90,000 to $94,999",Masters degree,Independent,
5f8851ec-5267-a7d5-caf3-9218ffe6ebf3,49,Male,13126,Midwest,"No , not of Hispanic, Latino, or Spanish origin",White ,"Less than $5,000","College Degree (such as B.A., B.S.)",Democrat,
5f89a0e2-566f-5471-822f-e6a07af16061,48,Male,56721,Northeast,"No , not of Hispanic, Latino, or Spanish origin",White ,"$15,000 to $19,999","College Degree (such as B.A., B.S.)",Republican,
5f89a465-dd50-fbc8-225f-55a6017c2ba4,47,Male,19720,South,"No , not of Hispanic, Latino, or Spanish origin",White ,"$5,000 to $9,999",Masters degree,Republican,
5f8c623e-c114-d4d3-b007-b835487249e3,46,Female,33558,South,"No , not of Hispanic, Latino, or Spanish origin",Asian *** Chinese ,"$80,000 to $84,999","College Degree (such as B.A., B.S.)",Republican,
5f886697-980e-80d8-67b2-ce7857e32eea,46,Male,10013,Midwest,"Yes, Mexican, Mexican American, Chicano",White ,"$100,000 to $124,999","College Degree (such as B.A., B.S.)",Democrat,
5f89c608-21e7-a594-cf40-ae6697872f45,45,Female,7047,Midwest,"No , not of Hispanic, Latino, or Spanish origin",White ,"Less than $5,000","College Degree (such as B.A., B.S.)",Democrat,
5f885700-9d3e-4336-6083-8dfb3c092503,45,Male,10013,Midwest,"No , not of Hispanic, Latino, or Spanish origin",White ,"$95,000 to $99,999",Doctorate degree,Democrat,
5f886c17-5f79-ea89-d6dd-c97ee173012b,43,Male,90055,North,"No , not of Hispanic, Latino, or Spanish origin",White ,"$175,000 to $199,999",Doctorate degree,Democrat,
5f884de0-3aa8-424b-6b12-dcfb7ad3efdb,43,Male,7670,Midwest,"No , not of Hispanic, Latino, or Spanish origin",White ,"$125,000 to $149,999",Masters degree,Republican,
5f8ce18f-a9ca-5dd8-3b32-7c16397b04b6,42,Female,37872,South,"No , not of Hispanic, Latino, or Spanish origin",White ,"Less than $5,000","Completed some college, but no degree",Democrat,
5f899ef4-3c37-830f-95f5-e29f430259ae,40,Female,39845,South,"No , not of Hispanic, Latino, or Spanish origin",White ,"$5,000 to $9,999",Completed some high school,Republican,
5f899f2a-b506-d402-7416-895a16df2d50,40,Male,32805,South,"No , not of Hispanic, Latino, or Spanish origin",White ,"$90,000 to $94,999",Masters degree,Republican,
5f886828-3192-575e-b1bc-b9784a8b061b,40,Male,30301,South,"No , not of Hispanic, Latino, or Spanish origin",White ,"$175,000 to $199,999",Doctorate degree,Independent,
5f88686c-1459-d3d3-1fc9-a8ec2b61519e,40,Male,10013,Midwest,"No , not of Hispanic, Latino, or Spanish origin",White ,"$100,000 to $124,999","College Degree (such as B.A., B.S.)",Republican,
5f886878-2a6a-31a4-dd12-d908cd914b21,40,Male,10011,Midwest,"No , not of Hispanic, Latino, or Spanish origin",White ,"$90,000 to $94,999",Masters degree,Republican,
5f884de7-9d75-2c60-e66d-38268196073d,40,Male,10006,Midwest,"No , not of Hispanic, Latino, or Spanish origin",White ,"$125,000 to $149,999",Masters degree,Republican,
5f884e39-74cc-23dd-dbf5-7f6d1929db21,40,Male,8062,Midwest,"No , not of Hispanic, Latino, or Spanish origin",White ,"$175,000 to $199,999",Masters degree,Independent,
5f899f55-19b1-2f98-6601-4f9a5fd95d55,39,Female,38111,South,"No , not of Hispanic, Latino, or Spanish origin",White ,"$20,000 to $24,999","Completed some graduate, but no degree",Independent,
5f89b450-e46a-0639-57b6-52608dcede22,39,Male,10038,Midwest,"No , not of Hispanic, Latino, or Spanish origin",White ,"$100,000 to $124,999",Masters degree,Republican,
5f8c8823-7b5e-d0c6-5199-115539a4a8d0,38,Female,37764,South,"No , not of Hispanic, Latino, or Spanish origin",White ,"$15,000 to $19,999",High school graduate,Independent,
5f885883-7e9f-608c-bf83-125a69e3de95,37,Male,7080,Midwest,"No , not of Hispanic, Latino, or Spanish origin",White ,"$80,000 to $84,999","College Degree (such as B.A., B.S.)",Democrat,
5f88550b-3859-79a5-e6b6-b0c45968e90f,36,Female,94530,North,"No , not of Hispanic, Latino, or Spanish origin",Asian *** Other ,"$150,000 to $174,999","College Degree (such as B.A., B.S.)",Democrat,
5f884ec0-2b12-0efa-3a18-a3f8d6914540,36,Male,44128,Northeast,"No , not of Hispanic, Latino, or Spanish origin",White ,"$95,000 to $99,999",Masters degree,Democrat,
5f89b122-a1e5-5982-da2e-3245c82f0174,36,Male,10011,Midwest,"No , not of Hispanic, Latino, or Spanish origin",White ,"$95,000 to $99,999",Doctorate degree,Independent,
5f8861b7-5bbd-d2f3-6191-f1ae5faae054,35,Female,90201,North,"No , not of Hispanic, Latino, or Spanish origin",White ,"$150,000 to $174,999",Doctorate degree,Republican,
5f886c3e-67d4-c1d1-f348-3478e7c7cd8c,35,Female,90007,North,"No , not of Hispanic, Latino, or Spanish origin",White ,"$90,000 to $94,999","College Degree (such as B.A., B.S.)",Democrat,
5f89a166-ea68-e35d-a2a7-147f496c65af,35,Female,14072,Midwest,"No , not of Hispanic, Latino, or Spanish origin",White ,"$50,000 to $54,999",Doctorate degree,Democrat,
5f899f6a-05bf-c41a-5225-97ce7cc1d502,35,Male,94107,North,"No , not of Hispanic, Latino, or Spanish origin",White ,"$65,000 to $69,999",Masters degree,Republican,
5f89c9c0-907f-5488-fad0-7e38387ef802,35,Male,30002,South,"No , not of Hispanic, Latino, or Spanish origin",White ,"$125,000 to $149,999",Doctorate degree,Independent,
5f886b42-7945-b65f-b015-80e943775069,35,Male,10977,Midwest,"Yes, another Hispanic, Latino, or Spanish origin *** Venezuela ","Black, or African American","Less than $5,000",High school graduate,Democrat,
5f8858cb-ea71-16cd-cb2f-c67e3f849694,35,Male,10013,Midwest,"No , not of Hispanic, Latino, or Spanish origin",White ,"$100,000 to $124,999",Doctorate degree,Democrat,
5f89c60d-bc8c-ed48-d4b2-eb36e12b895a,34,Male,90014,North,"No , not of Hispanic, Latino, or Spanish origin",White ,"$175,000 to $199,999",Masters degree,Republican,
5f88643e-6bad-fb2d-c1b4-e61841116ad1,33,Male,17331,Midwest,"No , not of Hispanic, Latino, or Spanish origin",White ,"$90,000 to $94,999","Completed some graduate, but no degree",Republican,
5f89ab10-5c83-9484-5a07-da45da084365,32,Male,7047,Midwest,"No , not of Hispanic, Latino, or Spanish origin",White ,"$175,000 to $199,999",Masters degree,Democrat,
5f887621-6b19-a495-6ade-4ade5942b25a,31,Male,90008,North,"Yes, Mexican, Mexican American, Chicano",White ,"$125,000 to $149,999","College Degree (such as B.A., B.S.)",Democrat,
5f89b7c3-e9bb-6b3f-34f4-0ae9e5000732,31,Male,10003,Midwest,"No , not of Hispanic, Latino, or Spanish origin",White ,"$5,000 to $9,999",High school graduate,Republican,
5f886373-ff30-9fe9-8248-a39364c8e47f,31,Male,1109,Midwest,"No , not of Hispanic, Latino, or Spanish origin",White ,"$20,000 to $24,999","Completed some college, but no degree",Independent,
5f886bd4-9d87-c402-9a62-541e74c7177b,30,Female,98009,North,"No , not of Hispanic, Latino, or Spanish origin",White ,"$100,000 to $124,999",Masters degree,Democrat,
5f8864a3-f333-2bfc-d3de-bc4fff915fb7,30,Male,33010,South,"No , not of Hispanic, Latino, or Spanish origin",White ,"$95,000 to $99,999","College Degree (such as B.A., B.S.)",Democrat,
5f89b4f7-3be5-6f61-9e42-6d24cb1c2fa4,29,Female,10001,Midwest,"No , not of Hispanic, Latino, or Spanish origin",White ,"$95,000 to $99,999",Associate Degree,Democrat,
5f89aad9-e73c-7455-a2c1-bd5443171cbe,29,Male,30302,South,"No , not of Hispanic, Latino, or Spanish origin",White ,"$85,000 to $89,999",Masters degree,Democrat,
5f886716-b2a0-9a89-ea82-3faf3fbbc755,27,Male,99501,North,"No , not of Hispanic, Latino, or Spanish origin",White ,"$90,000 to $94,999","College Degree (such as B.A., B.S.)",Democrat,
5f8858ca-4640-9bd9-c2cd-cae05605236e,26,Female,90004,North,"Yes, Mexican, Mexican American, Chicano",White ,"$45,000 to $49,999",Masters degree,Democrat,
5f886eec-950f-9c8c-83da-2c5457336159,26,Male,99501,North,"Yes, Mexican, Mexican American, Chicano",White ,"$175,000 to $199,999",Masters degree,Democrat,
5f8b507b-07c2-a882-1ead-d6a595164948,26,Male,12550,Midwest,"No , not of Hispanic, Latino, or Spanish origin","Black, or African American","Less than $5,000",High school graduate,Republican,
5f886180-975d-a5b2-ee83-3ea5c0e15f55,24,Male,33446,South,"No , not of Hispanic, Latino, or Spanish origin",White ,"$55,000 to $59,999","College Degree (such as B.A., B.S.)",Democrat,
5f8de1f0-677b-9a7a-18d4-615f01833649,19,Female,91911,North,"Yes, Mexican, Mexican American, Chicano",Some other race ,"$10,000 to $14,999","Completed some college, but no degree",Republican,
5f89b559-4df7-0c6b-c381-ec00179324a9,19,Male,234,Midwest,"No , not of Hispanic, Latino, or Spanish origin",White ,"Less than $5,000",Doctorate degree,Independent,
5f8b74e0-3a26-0d3a-26b6-43aaa7f0c042,81,Female,34243,South,"No , not of Hispanic, Latino, or Spanish origin",White ,"$150,000 to $174,999",High school graduate,Democrat,
5f88c2a0-e8e2-ccf5-e81d-c9938ab9387d,81,Male,32829,South,"Yes, another Hispanic, Latino, or Spanish origin *** Spain ",White ,"$90,000 to $94,999",Masters degree,Independent,
5f90f071-5a39-a5d3-7ddb-55c5d9675fe1,80,Female,99301,North,"No , not of Hispanic, Latino, or Spanish origin",White ,"$55,000 to $59,999",Masters degree,Republican,
5f88c249-d07f-57f0-4f55-e9c6ef5dab7a,76,Female,94402,North,"No , not of Hispanic, Latino, or Spanish origin",White ,"$175,000 to $199,999","College Degree (such as B.A., B.S.)",Democrat,
5f8ee903-5edd-3fef-89ff-0d4140217d30,74,Female,70817,South,"No , not of Hispanic, Latino, or Spanish origin",White ,"$95,000 to $99,999","Completed some graduate, but no degree",Democrat,
5f8ecef6-e993-5de4-5567-fea63f43985b,74,Female,14304,Midwest,"No , not of Hispanic, Latino, or Spanish origin",White ,"Less than $5,000","College Degree (such as B.A., B.S.)",Democrat,
5f8f914c-6139-dd48-5cea-866714c104df,73,Female,87114,North,"No , not of Hispanic, Latino, or Spanish origin",White ,"$20,000 to $24,999","College Degree (such as B.A., B.S.)",Democrat,
5f9701f7-9a67-0e35-2c53-30f374c09a2a,73,Female,85351,North,"No , not of Hispanic, Latino, or Spanish origin",White ,"$40,000 to $44,999",Completed some high school,Independent,
5f88c087-27b0-d332-2bf9-95471b71518e,73,Male,12832,Midwest,"No , not of Hispanic, Latino, or Spanish origin",White ,"$25,000 to $29,999",Associate Degree,Republican,
5f88c500-628e-9798-96ca-ca7e35d25737,72,Male,48315,Northeast,"No , not of Hispanic, Latino, or Spanish origin",White ,"$90,000 to $94,999","College Degree (such as B.A., B.S.)",Independent,
5f88c10d-cb0a-2798-ef08-7d4e46e1c1bd,71,Female,80921,North,"No , not of Hispanic, Latino, or Spanish origin",White ,"$95,000 to $99,999",Masters degree,Democrat,
5f960acd-4e0b-2034-a5c2-e10937ceb8f3,70,Female,8807,Midwest,"No , not of Hispanic, Latino, or Spanish origin",White ,"$30,000 to $34,999","Completed some college, but no degree",Republican,
5f88c232-993a-3224-98b4-263dbdbd054c,69,Female,94607,North,"No , not of Hispanic, Latino, or Spanish origin",Asian *** Chinese ,"$15,000 to $19,999","College Degree (such as B.A., B.S.)",Republican,
5f8d4a2f-40d2-270b-351b-e3d13903664d,69,Female,48091,Northeast,"No , not of Hispanic, Latino, or Spanish origin",White ,"$20,000 to $24,999",Masters degree,Democrat,
5f8ed2e4-4ea8-932c-9dcf-755a0b892056,66,Female,67349,Northeast,"No , not of Hispanic, Latino, or Spanish origin",White ,"$10,000 to $14,999","Completed some college, but no degree",Independent,
5f8f9e57-7ae0-a3bc-c2eb-a9ae02b5b7c3,65,Female,80138,North,"No , not of Hispanic, Latino, or Spanish origin",White ,"$175,000 to $199,999",Doctorate degree,Republican,
5f96e939-6d12-ba9a-781f-b3b7902f7a9e,65,Female,14445,Midwest,"No , not of Hispanic, Latino, or Spanish origin",White ,"$65,000 to $69,999",Masters degree,Independent,
5f8ceb60-71bb-2fae-7060-d6a9bc5c84f9,64,Female,63084,Northeast,"No , not of Hispanic, Latino, or Spanish origin",White ,"$40,000 to $44,999",High school graduate,Republican,
5f8ed2f3-2c80-5478-0ddb-6330ca9aafb7,64,Male,11422,Midwest,"No , not of Hispanic, Latino, or Spanish origin",White ,"$15,000 to $19,999",High school graduate,Republican,
5f8ccdcd-0c10-7130-d6ba-54afbf7cc150,63,Female,61373,Northeast,"No , not of Hispanic, Latino, or Spanish origin",White ,"$15,000 to $19,999","Completed some college, but no degree",Republican,
5f8ed5b7-96c0-2290-1d5e-ed72540be068,63,Female,37920,South,"No , not of Hispanic, Latino, or Spanish origin",White ,"$20,000 to $24,999",High school graduate,Independent,
5f8eef3a-bf75-d050-8703-f329e9ed207c,63,Male,69101,Northeast,"No , not of Hispanic, Latino, or Spanish origin",White ,"Less than $5,000","Completed some college, but no degree",Democrat,
5f8d5966-8f01-2096-13a3-740ab6b5b895,63,Male,32746,South,"No , not of Hispanic, Latino, or Spanish origin",White ,"$65,000 to $69,999",Masters degree,Democrat,
5f8d6d04-a3c8-b465-dc48-c9de63ba0af7,61,Female,55369,Northeast,"No , not of Hispanic, Latino, or Spanish origin",White ,"$80,000 to $84,999",Associate Degree,Independent,
5f8d7049-cab7-137e-f1ba-c7640f488ce2,61,Female,32746,South,"No , not of Hispanic, Latino, or Spanish origin",White ,"$70,000 to $74,999","College Degree (such as B.A., B.S.)",Democrat,
5f95e853-762d-7c07-8357-f3fce0ab3680,59,Female,42701,South,"No , not of Hispanic, Latino, or Spanish origin",White ,"$25,000 to $29,999",High school graduate,Democrat,
5f8cedf3-4922-bdbf-55ef-99a376ba4179,58,Female,65605,Northeast,"No , not of Hispanic, Latino, or Spanish origin",White ,"$45,000 to $49,999",Masters degree,Republican,
5f8d13b5-e6a5-4fe9-2a80-6fc93bbaec4f,58,Female,29410,South,"No , not of Hispanic, Latino, or Spanish origin",White ,"$95,000 to $99,999","College Degree (such as B.A., B.S.)",Republican,
5f8ecd86-50d2-2231-a102-0d442f7e4c44,54,Female,53910,Northeast,"No , not of Hispanic, Latino, or Spanish origin",White ,"$20,000 to $24,999",High school graduate,Democrat,
5f8eaa7e-a767-4056-b85a-97891097a615,54,Female,37601,South,"No , not of Hispanic, Latino, or Spanish origin",Asian *** Chinese ,"$5,000 to $9,999","College Degree (such as B.A., B.S.)",Independent,
5f8eb67e-5434-124a-9753-9c311fc6cb6e,54,Female,34112,South,"No , not of Hispanic, Latino, or Spanish origin",White ,"$55,000 to $59,999",Masters degree,Republican,
5f88bf0e-037d-a020-5e45-519f21cd842f,50,Male,27851,South,"No , not of Hispanic, Latino, or Spanish origin",White ,"$10,000 to $14,999",High school graduate,Independent,
5f8deaf5-bf02-b648-8b52-37de37e0b612,43,Female,92307,North,"No , not of Hispanic, Latino, or Spanish origin",American Indian or Alaska Native ,"$10,000 to $14,999","Completed some college, but no degree",Democrat,
5f8e6ef7-9b72-7bce-7484-a4b4f468df82,43,Male,35205,South,"No , not of Hispanic, Latino, or Spanish origin",White ,"Less than $5,000",Associate Degree,Democrat,
